"Name","Release_Price","Max_Power","Memory","Memory_Bandwidth","Core_Speed","Manufacturer","Memory_Type","Release_Year","log_Memory_Bandwidth"
"Radeon RX 480 HIS IceQ X² Roaring Turbo 8GB",250,150,8192,256,1120,"AMD","GDDR5",2016,5.54517744447956
"GeForce GTX 760 MSI Gaming ITX 2GB Edition",269,170,2048,192.3,1033,"Nvidia","GDDR5",2013,5.25905665259473
"GeForce GTX 1060 EVGA SC ACX 2.0 3GB",203,120,3072,192.2,1100,"Nvidia","GDDR5",2016,5.25853649653619
"Radeon RX 480 XFX RS Hard Swap Triple X 8GB",250,150,8192,256,1120,"AMD","GDDR5",2016,5.54517744447956
"Radeon RX Vega 64 Liquid 8GB",599,375,8192,256,1100,"AMD","HBM-2",2017,5.54517744447956
"Radeon HD 6670 v2",99,66,2048,25.6,800,"AMD","DDR3",2011,3.24259235148552
"Radeon R7 370 MSI Gaming 2GB Edition",159,110,2048,182.4,1000,"AMD","GDDR5",2015,5.20620207764023
"Radeon HD 5850 2048MB",299,185,2048,128,725,"AMD","GDDR5",2009,4.85203026391962
"GeForce GTS 450",129,106,1024,57.7,783,"Nvidia","GDDR5",2010,4.05525717351405
"GeForce GTX 465",279,200,1024,102.7,607,"Nvidia","GDDR5",2010,4.63181211693451
"Radeon RX 480 Gigabyte Windforce 8GB",120,150,8192,256,1120,"AMD","GDDR5",2016,5.54517744447956
"GeForce GTX 1080 EVGA 8GB Edition",609,180,8192,320.3,1607,"Nvidia","GDDR5X",2016,5.76925805661511
"GeForce GTX 1060 Gigabyte GTX G1 Gaming 6GB",289.99,120,6144,192.2,1594,"Nvidia","GDDR5",2016,5.25853649653619
"Radeon RX 560 HIS iCooler OC 2GB",109.99,80,2048,112,1175,"AMD","GDDR5",2017,4.71849887129509
"GeForce GTX 970 EVGA ACX 2.0 4GB Edition",329.99,148,4096,224.4,1050,"Nvidia","GDDR5",2014,5.41343017364854
"Radeon RX 580 PowerColor Red Dragon 8GB",200,150,8192,256,1100,"AMD","GDDR5",2017,5.54517744447956
"Radeon RX 480 XFX 4GB",240,150,4096,224,1120,"AMD","GDDR5",2016,5.41164605185504
"Radeon HD 7870",349,175,2048,153.6,1000,"AMD","GDDR5",2012,5.03435182071357
"GeForce GTX 680",499,195,2048,192.3,1006,"Nvidia","GDDR5",2012,5.25905665259473
"Radeon HD 5850 1024MB",299,151,1024,128,725,"AMD","GDDR5",2009,4.85203026391962
"Radeon RX 580 Gigabyte Gaming 4GB",185,150,4096,224,1100,"AMD","GDDR5",2017,5.41164605185504
"Radeon RX 470 XFX RS Triple X 4GB",179,120,4096,224,926,"AMD","GDDR5",2016,5.41164605185504
"Radeon RX 580 MSI Gaming X+ 8GB",200,150,8192,256,1100,"AMD","GDDR5",2017,5.54517744447956
"Radeon R7 370 Sapphire Nitro 4GB Edition",174,150,4096,179.2,985,"AMD","GDDR5",2015,5.18850250054083
"GeForce GTX 960 EVGA Superclocked 2GB Edition",199.99,120,2048,112.2,1216,"Nvidia","GDDR5",2015,4.7202829930886
"GeForce GTX 960 Asus Turbo OC 2GB Edition",219.99,120,2048,112.2,1253,"Nvidia","GDDR5",2015,4.7202829930886
"Radeon R9 380X XFX Double Dissipation Black OC 4GB Edition",289.99,225,4096,185.6,1030,"AMD","GDDR5",2015,5.2235938203521
"Radeon R7 360",109,75,2048,96,1050,"AMD","GDDR5",2015,4.56434819146784
"GeForce GTX 1060 Galax EX OC White 3GB",299.99,120,3072,192.2,1100,"Nvidia","GDDR5",2016,5.25853649653619
"GeForce GTX 1050 Ti 4GB",149,75,4096,112.1,1290,"Nvidia","GDDR5",2016,4.71939133007811
"Radeon R7 250E",109,55,1024,72,800,"AMD","GDDR5",2013,4.27666611901606
"Radeon RX 580 PowerColor Red Dragon 4GB",200,150,4096,224,1100,"AMD","GDDR5",2017,5.41164605185504
"Radeon RX 580 HIS IceQ X2 Roaring Turbo 8GB",200,150,8192,256,1100,"AMD","GDDR5",2017,5.54517744447956
"GeForce GTX 1070 Leadtek WinFast HURRICANE",450,150,8192,256.3,1569,"Nvidia","GDDR5",2016,5.54634863337003
"Radeon RX 460 Asus ROG Strix Gaming 4GB",132,75,4096,112,1100,"AMD","GDDR5",2016,4.71849887129509
"Radeon R9 380X",229,190,4096,182.4,970,"AMD","GDDR5",2015,5.20620207764023
"Radeon RX 560 XFX Double Dissipation OC 4GB",149.99,80,4096,112,1175,"AMD","GDDR5",2017,4.71849887129509
"GeForce GTX 1060 Inno3D Compact 3GB",249.99,120,3072,192.2,1100,"Nvidia","GDDR5",2016,5.25853649653619
"GeForce GTX 1060 Gigabyte Mini ITX OC 3GB",199.99,120,3072,192.2,1100,"Nvidia","GDDR5",2016,5.25853649653619
"Radeon R9 380 Sapphire ITX Compact OC 2GB Edition",239,225,2048,176,980,"AMD","GDDR5",2015,5.17048399503815
"GeForce GTX 950 Gigabyte XTREME Gaming 2GB Edition",179,120,2048,112,1203,"Nvidia","GDDR5",2015,4.71849887129509
"Radeon HD 7870 XT PowerColor Myst. Edition",269,185,2048,192,925,"AMD","GDDR5",2012,5.25749537202778
"Radeon R9 380X XFX Double Dissipation XXX OC 4GB Edition",229.99,190,4096,182.4,990,"AMD","GDDR5",2015,5.20620207764023
"Radeon HD 4770 512MB",109,80,512,51.2,750,"AMD","GDDR5",2009,3.93573953204546
"GeForce GT 440",79,65,512,51.2,810,"Nvidia","GDDR5",2011,3.93573953204546
"GeForce GTX 960 Palit Super JetStream 2GB Edition",219.99,120,2048,115.2,1279,"Nvidia","GDDR5",2015,4.74666974826179
"Radeon R9 370X",199,180,2048,179.2,1000,"AMD","GDDR5",2015,5.18850250054083
"Radeon RX 580 MSI Armor 4GB",200,150,4096,224,1100,"AMD","GDDR5",2017,5.41164605185504
"GeForce GT 635 (OEM)",99,35,2048,16,967,"Nvidia","DDR3",2013,2.77258872223978
"Radeon R9 380 Gigabyte WindForce 2X OC (rev 1.0) 2GB Edition",209,190,2048,176,980,"AMD","GDDR5",2015,5.17048399503815
"GeForce GTX 1060 MSI OC 3GB",206,120,3072,192.2,1100,"Nvidia","GDDR5",2016,5.25853649653619
"GeForce GTX 970 EVGA Superclocked ACX 4GB Edition",339.99,150,4096,224.4,1165,"Nvidia","GDDR5",2014,5.41343017364854
"GeForce GTX 970 EVGA SSC ACX 2.0 4GB Edition",359.99,150,4096,224.4,1190,"Nvidia","GDDR5",2014,5.41343017364854
"Radeon RX 480 MSI Gaming X 8GB",265,150,8192,256,1120,"AMD","GDDR5",2016,5.54517744447956
"Radeon RX 560 Gigabyte Gaming OC 4GB",109.99,80,4096,112,1175,"AMD","GDDR5",2017,4.71849887129509
"Radeon RX 580 Sapphire Nitro+ Limited 8GB",200,150,8192,256,1100,"AMD","GDDR5",2017,5.54517744447956
"Radeon RX 480 ASUS DUAL OC 4GB",230,150,4096,224,1120,"AMD","GDDR5",2016,5.41164605185504
"Radeon R9 380 MSI OC 2GB Edition",199,190,2048,176,980,"AMD","GDDR5",2015,5.17048399503815
"Radeon RX 560 Sapphire Pulse 4GB",149.99,45,4096,112,1175,"AMD","GDDR5",2017,4.71849887129509
"Radeon RX 580 MSI Armor OC 4GB",200,150,4096,224,1100,"AMD","GDDR5",2017,5.41164605185504
"Radeon RX 570 8GB",180,120,8192,224,1100,"AMD","GDDR5",2017,5.41164605185504
"GeForce GTX 960 EVGA FTW ACX 2.0+ 4GB Edition",259.99,120,4096,112.2,1304,"Nvidia","GDDR5",2015,4.7202829930886
"Radeon RX 480 MSI GAMING 4G",200,150,4096,224,1120,"AMD","GDDR5",2016,5.41164605185504
"GeForce GTX 1060 Zotac Mini 6GB",318,120,6144,192.2,1506,"Nvidia","GDDR5",2016,5.25853649653619
"Radeon HD 7770 1GB GDDR5",159,80,1024,72,1000,"AMD","GDDR5",2012,4.27666611901606
"Radeon RX 480 PowerColour 8GB",240,150,8192,256,1120,"AMD","GDDR5",2016,5.54517744447956
"Radeon HD 4890 Sapphire Toxic 1GB Edition",249,190,1024,134.4,960,"AMD","GDDR5",2009,4.90082042808905
"Radeon RX 560 PowerColor Red Dragon OC 4GB",129.99,80,4096,112,1175,"AMD","GDDR5",2017,4.71849887129509
"GeForce GTX 550 Ti",149,116,1024,98.4,900,"Nvidia","GDDR5",2011,4.58904080405821
"GeForce GTS 250 v2",199,140,512,70.4,675,"Nvidia","GDDR3",2008,4.254193263164
"Radeon RX 460 XFX 4GB Single Fan",135,75,4096,112,1090,"AMD","GDDR5",2016,4.71849887129509
