"Name","Release_Price","Max_Power","Memory","Memory_Bandwidth","Core_Speed","Manufacturer","Memory_Type","Release_Year","log_Memory_Bandwidth"
"GeForce GTX 950 LP 2GB",159,75,2048,105.8,1024,"Nvidia","GDDR5",2016,4.6615505194242
"GeForce GTX 1050 Ti PNY 4GB",150,75,4096,112.1,1290,"Nvidia","GDDR5",2016,4.71939133007811
"Radeon R9 390X Asus DirectCU II 8GB Edition",429,275,8192,384,1050,"AMD","GDDR5",2015,5.95064255258773
"Radeon RX 560 Asus ROG Strix Gaming OC 4GB",99,75,4096,112,1175,"AMD","GDDR5",2017,4.71849887129509
"GeForce GTX 1060 Zotac Mini 3GB",199.99,120,3072,192.2,1100,"Nvidia","GDDR5",2016,5.25853649653619
"Radeon HD 5870 2048MB",399,195,2048,153.6,850,"AMD","GDDR5",2009,5.03435182071357
"GeForce GTX 480",499,250,1536,177.4,700,"Nvidia","GDDR5",2010,5.17840706987548
"GeForce GTX 980 PNY XLR8 Pro OC 4GB Edition",579.99,180,4096,224.4,1228,"Nvidia","GDDR5",2015,5.41343017364854
"GeForce GTX 970 MSI OC 4GB Edition",329,148,4096,224.4,1076,"Nvidia","GDDR5",2014,5.41343017364854
"Radeon RX 560 VisionTek Overclocked 2GB",119.99,80,2048,112,1175,"AMD","GDDR5",2017,4.71849887129509
"Radeon RX 560 Asus Dual Fan OC 4GB",120,75,4096,112,1175,"AMD","GDDR5",2017,4.71849887129509
"Radeon RX 560 2GB",149,80,2048,112,1175,"AMD","GDDR5",2017,4.71849887129509
"GeForce GTX 1050 Ti MSI OC 4GB",140,75,4096,112.1,1341,"Nvidia","GDDR5",2016,4.71939133007811
"GeForce GTX 1060 MSI 6GT OC",249,120,6144,194.6,1544,"Nvidia","GDDR5",2016,5.2709461697519
"GeForce GT 640",99,65,2048,28.5,902,"Nvidia","DDR3",2012,3.3499040872746
"Radeon RX 580 Asus ROG Strix TOP 8GB",185,150,8192,256,1100,"AMD","GDDR5",2017,5.54517744447956
"GeForce GT 630 v3",69,25,2048,14.4,902,"Nvidia","DDR3",2013,2.66722820658195
"GeForce GTX 1060 EVGA ACX 2.0 6GB",249.99,120,6144,192.2,1506,"Nvidia","GDDR5",2016,5.25853649653619
"GeForce GT 740",79,64,2048,28.8,993,"Nvidia","DDR3",2014,3.3603753871419
"GeForce GTX 1060 MSI Gaming 6GB",289.99,120,6144,192.2,1518,"Nvidia","GDDR5",2016,5.25853649653619
"GeForce GTX 580",499,244,1536,192.4,772,"Nvidia","GDDR5",2010,5.25957653823161
"Radeon RX 460 ASUS DUAL OC 2GB",120,75,2048,112,1100,"AMD","GDDR5",2016,4.71849887129509
"GeForce GT 720 v2",59,19,1024,40,797,"Nvidia","GDDR5",2014,3.68887945411394
"Radeon R7 240 2GB",69,30,2048,28.8,730,"AMD","DDR3",2013,3.3603753871419
"Radeon RX 580 VisionTek OC 8GB",250,150,8192,256,1100,"AMD","GDDR5",2017,5.54517744447956
"Radeon RX 560 PowerColor Red Dragon V3 4GB",129.99,80,4096,112,1180,"AMD","GDDR5",2017,4.71849887129509
"Radeon RX 580 MSI Gaming X 8GB",200,150,8192,256,1100,"AMD","GDDR5",2017,5.54517744447956
"GeForce GTX 1060 Inno3D Gaming OC 6GB",349.99,130,6144,192.2,1569,"Nvidia","GDDR5",2016,5.25853649653619
"GeForce 9800 GT",160,105,512,57.6,600,"Nvidia","GDDR3",2008,4.05352256770185
"GeForce GTX 960 Palit 2GB Edition",209.99,120,2048,112.2,1127,"Nvidia","GDDR5",2015,4.7202829930886
"Radeon RX 480 HIS IceQ X2 Roaring OC 8GB",250,150,8192,256,1120,"AMD","GDDR5",2016,5.54517744447956
"Radeon RX 480 MSI 4GB",200,120,4096,224,1120,"AMD","GDDR5",2016,5.41164605185504
"Radeon RX 580 MSI Armor OC 8GB",200,150,8192,256,1100,"AMD","GDDR5",2017,5.54517744447956
"GeForce GTX 980 4GB",549.99,165,4096,224.4,1126,"Nvidia","GDDR5",2014,5.41343017364854
"GeForce GTX 1060 MSI Armor OCV1 3G",224,120,3072,192.2,1100,"Nvidia","GDDR5",2016,5.25853649653619
"Radeon HD 7850",249,130,2048,153.6,860,"AMD","GDDR5",2012,5.03435182071357
"Radeon R9 390X",429,275,8192,384,1050,"AMD","GDDR5",2015,5.95064255258773
"GeForce GTX 460 v2",229,160,1024,128.3,778,"Nvidia","GDDR5",2011,4.85437127162159
"GeForce GTX 960 Asus Mini OC 2GB Edition",214,150,2048,112.2,1190,"Nvidia","GDDR5",2015,4.7202829930886
"GeForce GT 730",89,23,2048,14.4,902,"Nvidia","DDR3",2014,2.66722820658195
"Radeon R9 FURY 4GB",549,275,4096,512,1000,"AMD","HBM-1",2015,6.23832462503951
"Radeon RX 480 HIS 8GB",120,150,8192,256,1120,"AMD","GDDR5",2016,5.54517744447956
"Radeon RX 480 XFX Black Edition 8GB",255,150,8192,256,1120,"AMD","GDDR5",2016,5.54517744447956
"GeForce GTX 295",500,289,1792,223.8,576,"Nvidia","GDDR3",2009,5.41075279587782
"GeForce GTX 1070 Asus Turbo",438,150,8192,256.3,1531,"Nvidia","GDDR5",2016,5.54634863337003
"Radeon RX 580 Gigabyte Aorus 4GB",185,150,4096,224,1100,"AMD","GDDR5",2017,5.41164605185504
"Radeon RX 560 Asus Dual Fan 2GB",120,75,2048,112,1175,"AMD","GDDR5",2017,4.71849887129509
"GeForce GTX 1060",249,120,6144,192.2,1506,"Nvidia","GDDR5",2016,5.25853649653619
"GeForce GTX 1070 Palit Super JetStream",560,150,8192,272.3,1632,"Nvidia","GDDR5",2016,5.60690439967971
"Radeon RX 560 Asus Dual Fan OC 2GB",120,75,2048,112,1175,"AMD","GDDR5",2017,4.71849887129509
"GeForce GTX 1050",150,75,2048,112.1,1354,"Nvidia","GDDR5",2016,4.71939133007811
"Radeon R9 380 MSI Gaming 2GB Edition",239,190,2048,179.2,1000,"AMD","GDDR5",2015,5.18850250054083
"GeForce GTX 1050 Ti Zotac Mini 4GB",140,75,4096,112.1,1303,"Nvidia","GDDR5",2016,4.71939133007811
"Radeon RX 480 MSI Armor 4GB",220,120,4096,224,1120,"AMD","GDDR5",2016,5.41164605185504
"Radeon R9 380X Asus DirectCU II OC Strix Gaming 4GB Edition",239.99,190,4096,182.4,1030,"AMD","GDDR5",2015,5.20620207764023
"Radeon R9 380X Sapphire Nitro 4GB Edition",249.99,225,4096,192,1040,"AMD","GDDR5",2015,5.25749537202778
"Radeon RX 560 Sapphire Pulse OC 2GB",119.99,80,2048,112,1175,"AMD","GDDR5",2017,4.71849887129509
"Radeon HD 4670 512MB",67,59,512,25.6,750,"AMD","GDDR3",2008,3.24259235148552
"Radeon HD 6970",369,250,2048,176,880,"AMD","GDDR5",2010,5.17048399503815
"Radeon RX 560 Dataland X-Serial God of War 4GB",120,75,4096,112,1175,"AMD","GDDR5",2017,4.71849887129509
"GeForce GTX 1070 EVGA ACX 3.0 8GB Edition",419,150,8192,256.3,1506,"Nvidia","GDDR5",2016,5.54634863337003
"Radeon R9 390X MSI Gaming 8GB Edition",419,300,8192,390.4,1100,"AMD","GDDR5",2015,5.96717185453894
"GeForce GTX 260 v3",299,171,896,111.9,576,"Nvidia","GDDR3",2008,4.71760561531788
"GeForce GT 630 v2",79,65,1024,51.2,810,"Nvidia","GDDR5",2012,3.93573953204546
"Radeon RX 480 PowerColor 4GB",230,150,4096,224,1120,"AMD","GDDR5",2016,5.41164605185504
"GeForce GT 545 3GB",149,70,3072,38.4,720,"Nvidia","DDR3",2011,3.64805745959368
"Radeon R7 370 Sapphire Dual-X OC 2GB Edition",154,150,2048,179.2,985,"AMD","GDDR5",2015,5.18850250054083
"Radeon RX 480 MSI GAMING X 4G",240,150,4096,224,1120,"AMD","GDDR5",2016,5.41164605185504
"Radeon RX 560 Asus ROG Strix Gaming 4GB",99,75,4096,112,1175,"AMD","GDDR5",2017,4.71849887129509
"GeForce GTX 260",449,182,896,111.9,576,"Nvidia","GDDR3",2008,4.71760561531788
"Radeon RX 580 XFX GTS Black 8GB",250,150,8192,256,1100,"AMD","GDDR5",2017,5.54517744447956
"Radeon R9 FURY Sapphire Tri-X 4GB Edition",559,375,4096,512,1000,"AMD","HBM-1",2015,6.23832462503951
"GeForce GTX 1070 EVGA SC GAMING ACX 3.0 8GB Edition",439,180,8192,256.3,1594,"Nvidia","GDDR5",2016,5.54634863337003
"GeForce GTX 660 Ti Colorful iGame ARES X 2GB Edition",349,150,2048,163.4,1106,"Nvidia","GDDR5",2012,5.0962011824259
"Radeon R9 280",279,200,3072,240,827,"AMD","GDDR5",2014,5.48063892334199
"Radeon RX 480 4GB",199,120,4096,224,1120,"AMD","GDDR5",2016,5.41164605185504
"GeForce GTX 1050 Ti MSI OC T 4GB",150,75,4096,112.1,1341,"Nvidia","GDDR5",2016,4.71939133007811
"GeForce GT 630",69,65,1024,28.8,810,"Nvidia","DDR3",2012,3.3603753871419
"GeForce GTX 950 EVGA Superclocked+ ACX 2.0 2GB Edition",179,110,2048,105.8,1165,"Nvidia","GDDR5",2015,4.6615505194242
"Radeon RX 480 MSI Gaming 8GB",250,150,8192,256,1120,"AMD","GDDR5",2016,5.54517744447956
"GeForce GTX 560 MSI TwinFrozr II OC 1GB Edition",209,150,1024,130.6,870,"Nvidia","GDDR5",2011,4.87213921684233
"GeForce GTX 1070 Gainward Phoenix GS",585,150,8192,272.3,1632,"Nvidia","GDDR5",2016,5.60690439967971
"GeForce GTX 1060 Gigabyte Xtreme Gaming 6GB",319.49,120,6144,192.2,1620,"Nvidia","GDDR5",2016,5.25853649653619
"GeForce GT 545 1.5GB",149,70,1536,38.4,720,"Nvidia","DDR3",2011,3.64805745959368
"Radeon RX 580 PowerColor Red Devil Golden Sample 8GB",200,150,8192,256,1100,"AMD","GDDR5",2017,5.54517744447956
"GeForce GTX 1070 Gigabyte Founders 8GB Edition",449,150,8192,256.3,1506,"Nvidia","GDDR5",2016,5.54634863337003
"GeForce GTX 980 EVGA Superclocked ACX 2.0 4GB Edition",569.99,165,4096,224.4,1266,"Nvidia","GDDR5",2014,5.41343017364854
"GeForce GTX 970 EVGA Superclocked ACX 2.0 4GB Edition",349.99,150,4096,224.4,1165,"Nvidia","GDDR5",2014,5.41343017364854
"GeForce GTX 970 Asus Turbo OC 4GB Edition",329,148,4096,224.4,1088,"Nvidia","GDDR5",2015,5.41343017364854
"Radeon RX 580 Sapphire Nitro+ 4GB",200,150,8192,224,1100,"AMD","GDDR5",2017,5.41164605185504
"GeForce GTX 460 SE",160,150,1024,108.8,650,"Nvidia","GDDR5",2010,4.68951133442184
"Radeon RX 480 Asus ROG Strix OC 8GB",240,150,8192,256,1120,"AMD","GDDR5",2016,5.54517744447956
"GeForce GTX 1060 KFA2 EX OC White 6GB",330,120,6144,192.2,1556,"Nvidia","GDDR5",2016,5.25853649653619
"Radeon R9 290",399,275,4096,320,947,"AMD","GDDR5",2013,5.76832099579377
"Radeon R9 380",199,190,2048,176,970,"AMD","GDDR5",2015,5.17048399503815
"GeForce GTX 1050 Ti Gigabyte Windforce OC 4GB",160,75,4096,112.1,1354,"Nvidia","GDDR5",2016,4.71939133007811
"Radeon RX 470 4GB",179,120,4096,211.2,926,"AMD","GDDR5",2016,5.35280555183211
"GeForce GTX 970 MSI Gaming 4GB Edition",349.99,148,4096,224.4,1140,"Nvidia","GDDR5",2014,5.41343017364854
"Radeon RX 560 PowerColor Red Dragon OC 2GB",129.99,80,2048,112,1180,"AMD","GDDR5",2017,4.71849887129509
"Radeon RX 470 Sapphire Platinum Edition 4GB",220,120,4096,224,926,"AMD","GDDR5",2016,5.41164605185504
"Radeon RX 460 Asus ROG Strix Gaming OC 4GB",135,75,4096,112,1090,"AMD","GDDR5",2016,4.71849887129509
"Radeon RX 580 XFX GTR Black 8GB",250,150,8192,256,1100,"AMD","GDDR5",2017,5.54517744447956
"Radeon HD 5870 1024MB",399,188,1024,153.6,850,"AMD","GDDR5",2009,5.03435182071357
"Radeon RX 580 Gigabyte Aorus 8GB",185,150,8192,256,1100,"AMD","GDDR5",2017,5.54517744447956
"GeForce GTX 650 Ti",149,110,1024,86.4,928,"Nvidia","GDDR5",2012,4.45898767581001
"Radeon RX 470 Asus ROG Strix Gaming OC 4GB",199,120,4096,211.2,926,"AMD","GDDR5",2016,5.35280555183211
"GeForce GTX 960 EVGA FTW ACX 2.0+ 2GB Edition",229.99,120,2048,112.2,1304,"Nvidia","GDDR5",2015,4.7202829930886
"Radeon RX 480 Asus 8GB",120,150,8192,256,1120,"AMD","GDDR5",2016,5.54517744447956
"Radeon R9 270",99,150,2048,179.2,900,"AMD","GDDR5",2013,5.18850250054083
"Radeon R9 390 Sapphire Nitro 8GB Edition",329,375,8192,384,1010,"AMD","GDDR5",2015,5.95064255258773
"Radeon RX 560 Dataland X-Serial God of War 2GB",120,80,2048,112,1175,"AMD","GDDR5",2017,4.71849887129509
"Radeon R9 380X Asus DirectCU II Strix Gaming 4GB Edition",229,190,4096,182.4,970,"AMD","GDDR5",2015,5.20620207764023
"Radeon R7 240 v2 2GB",69,30,2048,72,730,"AMD","GDDR5",2013,4.27666611901606
"GeForce GTX 1070 Asus Dual",430,150,8192,256.3,1582,"Nvidia","GDDR5",2016,5.54634863337003
"Radeon RX 480 Gigabyte Windforce 4GB",220,150,4096,224,1120,"AMD","GDDR5",2016,5.41164605185504
"Radeon RX 580 XFX GTR-S Black 8GB",250,150,8192,256,1100,"AMD","GDDR5",2017,5.54517744447956
"Radeon HD 6450",55,18,512,25.6,625,"AMD","GDDR5",2011,3.24259235148552
"GeForce GTX 670 Palit 2GB Edition",399,170,2048,192.3,915,"Nvidia","GDDR5",2012,5.25905665259473
"Radeon R7 360 Sapphire OC 2GB Edition",109,150,2048,96,1060,"AMD","GDDR5",2015,4.56434819146784
"Radeon RX 480 HIS IceQ X² Roaring OC GB",240,150,8192,256,1120,"AMD","GDDR5",2016,5.54517744447956
"GeForce GTX 560 Ti 448 MSI Twin Frozr III Power OC 1.2GB Edition",299,210,1280,124.8,750,"Nvidia","GDDR5",2011,4.82671245593533
"GeForce GTX 285",359,204,1024,159,648,"Nvidia","GDDR3",2008,5.06890420222023
"GeForce GTX 660 Ti",299,150,2048,144.2,915,"Nvidia","GDDR5",2012,4.97120122485085
"GeForce GTX 950 2GB",159,90,2048,105.8,1024,"Nvidia","GDDR5",2015,4.6615505194242
"Radeon RX 480 XFX RS Hard Swap 4GB",240,150,4096,224,1120,"AMD","GDDR5",2016,5.41164605185504
"GeForce GTX 1050 Ti PNY XLR8 Gaming Overclocked Edition 4GB",160,75,4096,112.1,1366,"Nvidia","GDDR5",2016,4.71939133007811
"Radeon RX 480 PowerColor Red Dragon 4GB",210,120,4096,224,1120,"AMD","GDDR5",2016,5.41164605185504
"Radeon HD 7970",549,250,3072,264,925,"AMD","GDDR5",2011,5.57594910314632
"GeForce GTX 1060 Galax EX OC Black 3GB",269.99,120,3072,192.2,1100,"Nvidia","GDDR5",2016,5.25853649653619
"Radeon R7 360 v2 MSI OC 2GB Edition",114,100,2048,104,1050,"AMD","GDDR5",2015,4.64439089914137
"Radeon R9 380 Sapphire Nitro 4GB Edition",219,225,4096,185.6,985,"AMD","GDDR5",2015,5.2235938203521
"GeForce GTX 670",399,170,2048,192.3,915,"Nvidia","GDDR5",2012,5.25905665259473
"GeForce GTX 750 Ti",149,60,2048,86.4,1020,"Nvidia","GDDR5",2014,4.45898767581001
"Radeon RX 460 Sapphire Nitro 4G D5",150,150,4096,112,1090,"AMD","GDDR5",2016,4.71849887129509
"GeForce GTX 1070 Zotac AMP!",450,220,8192,256.3,1607,"Nvidia","GDDR5",2016,5.54634863337003
"GeForce GTX 1060 Asus Dual 3GB",200,120,3072,192.2,1100,"Nvidia","GDDR5",2016,5.25853649653619
"GeForce GTX 770",399,230,2048,224.3,1046,"Nvidia","GDDR5",2013,5.41298444152616
"GeForce GTX 760",249,170,2048,192.3,980,"Nvidia","GDDR5",2013,5.25905665259473
"GeForce GTX 1070 Gigabyte Xtreme Gaming",480,150,8192,256.3,1695,"Nvidia","GDDR5",2016,5.54634863337003
"GeForce GT 520",59,29,1024,14.4,810,"Nvidia","DDR3",2011,2.66722820658195
"Radeon R9 390 Gigabyte G1 Gaming 8GB Edition",329,275,8192,384,1025,"AMD","GDDR5",2015,5.95064255258773
"Radeon RX 480 XFX GTR Hard Swap Black Edition 8GB",260,150,8192,256,1120,"AMD","GDDR5",2016,5.54517744447956
"Radeon RX 480 Sapphire Nitro+ 8GB",260,150,8192,256,1208,"AMD","GDDR5",2016,5.54517744447956
"GeForce GT 740 v2",89,64,1024,80,993,"Nvidia","GDDR5",2014,4.38202663467388
"Radeon R9 380 MSI Gaming 4GB Edition",239,190,4096,185.6,1000,"AMD","GDDR5",2015,5.2235938203521
"GeForce GTX 1070 Asus ROG Strix Gaming 8GB",485,150,8192,256.3,1531,"Nvidia","GDDR5",2016,5.54634863337003
"Radeon RX 470 ASUS ROG Strix Gaming 4GB",200,120,4096,211.2,926,"AMD","GDDR5",2016,5.35280555183211
"Radeon RX 470 HIS IceQ X2 OC 4GB",199,120,4096,211.2,926,"AMD","GDDR5",2016,5.35280555183211
"GeForce GTX 1060 MSI OCV1 3G",221,120,3072,192.2,1100,"Nvidia","GDDR5",2016,5.25853649653619
"Radeon RX 580 MSI Armor 8GB",200,150,8192,256,1100,"AMD","GDDR5",2017,5.54517744447956
"GeForce GTX 660",229,140,2048,144.2,980,"Nvidia","GDDR5",2012,4.97120122485085
"Radeon RX 560 MSI Aero ITX OC 4GB",129.99,80,4096,112,1175,"AMD","GDDR5",2017,4.71849887129509
"Radeon RX 480 8GB",229,150,8192,256,1120,"AMD","GDDR5",2016,5.54517744447956
"Radeon RX 460 Gigabyte Windforce 2X OC 4GB",130,75,4096,192.1,1090,"AMD","GDDR5",2016,5.25801606977451
"Radeon R9 270X",199,180,2048,179.2,1000,"AMD","GDDR5",2013,5.18850250054083
"Radeon R9 290X",549,290,4096,320,1000,"AMD","GDDR5",2013,5.76832099579377
"Radeon RX 560 Dataland X-Serial War 4GB",120,75,4096,112,1180,"AMD","GDDR5",2017,4.71849887129509
"GeForce GTX 1060 Asus Turbo 6GB",259.99,120,6144,192.2,1506,"Nvidia","GDDR5",2016,5.25853649653619
"Radeon RX 580 HIS IceQ X2 OC 8GB",200,150,8192,256,1100,"AMD","GDDR5",2017,5.54517744447956
"Radeon RX 480 Gigabyte G1 Gaming 8GB",240,150,8192,256,1120,"AMD","GDDR5",2016,5.54517744447956
"GeForce GTX 960 Gigabyte OC 4GB Edition",239,120,4096,112.2,1190,"Nvidia","GDDR5",2015,4.7202829930886
"GeForce GTX 1060 Inno3D iChill X3",370,120,6144,197,1569,"Nvidia","GDDR5",2016,5.28320372873799
"Radeon RX 580 XFX GTS XXX 8GB",250,150,8192,256,1100,"AMD","GDDR5",2017,5.54517744447956
"GeForce GTX 1050 Ti MSI Gaming X 4GB",165,75,4096,112.1,1379,"Nvidia","GDDR5",2016,4.71939133007811
"Radeon HD 7730 v2",69,47,2048,28.8,800,"AMD","DDR3",2013,3.3603753871419
"GeForce GTX 970 EVGA ACX 4GB Edition",329.99,148,4096,224.4,1050,"Nvidia","GDDR5",2014,5.41343017364854
"Radeon RX 480 MSI Armor OC 8GB",245,150,8192,256,1120,"AMD","GDDR5",2016,5.54517744447956
"Radeon HD 6670",99,66,1024,64,800,"AMD","GDDR5",2011,4.15888308335967
"GeForce GTX 950 EVGA FTW ACX 2.0 2GB Edition",179,125,2048,105.8,1203,"Nvidia","GDDR5",2015,4.6615505194242
"GeForce GTX 1060 Palit Super Jetstream 6GB",320,120,6144,192.2,1620,"Nvidia","GDDR5",2016,5.25853649653619
"GeForce GTX 980 EVGA 4GB Edition",549.99,165,4096,224.4,1126,"Nvidia","GDDR5",2014,5.41343017364854
